article_text,paragraphs,article,n_characters,news_site
A másfél órán át tartó egyeztetést követően Müller a két kormányfő múlt heti budapesti közös nyilatkozatára utalva közölte:,1,1,123,Index
a lengyel és a magyar álláspont világos.,2,1,40,Index
"A szóvivő szerint az uniós költségvetés kapcsán lehetséges az új megállapodás, ennek viszont összhangban kell lennie az uniós alapszerződéssel, a júliusi EU-csúcs záró következtetéseivel.",3,1,187,Index
"A budapesti nyilatkozatban Orbán Viktor és Matesusz Morawiecki kilátásba helyezte, hogy szükség esetén ",4,1,103,Index
kész megvétózni a költségvetési csomagot.,5,1,41,Index
"Egy héten belül immár másodszor egyeztet egymással személyesen Orbán Viktor magyar és Mateusz Morawiecki lengyel miniszterelnök. Az újabb munkaértekezletet hétfő este tartják Varsóban – tájékoztatta az MTI-t Havasi Bertalan, a miniszterelnök sajtófőnöke, megerősítve az erről szóló lengyel sajtóhíreket.",1,2,303,Index
Lengyelországi sajtóorgánumoknak Piotr Müller kormányszóvivő elmondta: a mai kétoldalú megbeszélés célja további intézkedések megvitatása az uniós költségvetési tárgyalások és a soron következő uniós csúcstalálkozó előtt.,2,2,221,Index
"
                          (Borítókép: Orbán Viktor magyar (balra) és Mateusz Morawiecki lengyel kormányfő az Európai Unió brüsszeli csúcstalálkozója után tartott sajtótájékoztatón 2020. július 21-én. Fotó: Benko Vivien Cher / MTI)
                        ",3,2,256,Index
"A magyar miniszterelnök egy héten belül két utalást is tett arra, hogy Magyarország uniós segítség nélkül, önerőből is biztosítottnak látja a következő néhány évét, és hogy nem is éri meg nekünk elfogadni az uniós mentőcsomagot. November 20-án a Kossuth Rádiónak adott interjújában emlékeztetett erre, múlt héten pedig a Mateusz Morawiecki lengyel miniszterelnökkel tartott találkozót követő sajtótájékoztatón fogalmazott így. Ott egész pontosan azt mondta, „a koronavírus-járvány okozta válságkezeléshez az Európai Unió valójában hitelből próbálja meg előteremteni a forrásokat, a ránk eső részt nekünk kell kifizetni. Futnánk más kockázatát”.",1,3,644,Index
"Első és második hallásra is félrevezetőek Orbán Viktor szavai, de legalábbis elég valószínűnek tűnik, hogy bár gazdasági érvekkel próbálja alátámasztani a jogállamisági vita miatt emelt vétót, rosszak az indokai, ez így nekünk nem éri meg. Nemcsak az a gond az érvelésével, hogy a gazdaságunk jelentősen rászorul az uniós forrásokra, hanem az is, hogy az unió olyan hitelkonstrukciót kínál, ami összehasonlíthatatlanul kedvezőbb a nemzetközi piacon fellelhetőknél.",2,3,464,Index
