article_text,paragraphs,article,n_characters,news_site,article_text_eng,Sentiment,Mixed,Negative,Neutral,Positive
A másfél órán át tartó egyeztetést követően Müller a két kormányfő múlt heti budapesti közös nyilatkozatára utalva közölte:,1,1,123,Index,"After a meeting lasting an hour and a half, Müller said, referring to the joint statement of the two prime ministers last week in Budapest:",NEUTRAL,2.9013204766670242e-5,0.002618009690195322,0.9925304055213928,0.004822618793696165
a lengyel és a magyar álláspont világos.,2,1,40,Index,the Polish and Hungarian positions are clear.,POSITIVE,0.1366264820098877,0.06825577467679977,0.37350228428840637,0.42161545157432556
"A szóvivő szerint az uniós költségvetés kapcsán lehetséges az új megállapodás, ennek viszont összhangban kell lennie az uniós alapszerződéssel, a júliusi EU-csúcs záró következtetéseivel.",3,1,187,Index,"According to the spokesman, a new agreement on the EU budget is possible, but this must be in line with the EU Treaty and the final conclusions of the July EU summit.",NEUTRAL,1.8186176021117717e-4,0.0031520784832537174,0.9883335828781128,0.00833239033818245
"A budapesti nyilatkozatban Orbán Viktor és Matesusz Morawiecki kilátásba helyezte, hogy szükség esetén ",4,1,103,Index,"In the statement in Budapest, Viktor Orbán and Matesusz Morawiecki put the prospect that, if necessary,",NEUTRAL,1.1686825018841773e-5,3.3193101990036666e-4,0.9904382824897766,0.009218139573931694
kész megvétózni a költségvetési csomagot.,5,1,41,Index,ready to veto the budget package.,MIXED,0.3376862108707428,0.31525126099586487,0.18497440218925476,0.16208812594413757
"Egy héten belül immár másodszor egyeztet egymással személyesen Orbán Viktor magyar és Mateusz Morawiecki lengyel miniszterelnök. Az újabb munkaértekezletet hétfő este tartják Varsóban – tájékoztatta az MTI-t Havasi Bertalan, a miniszterelnök sajtófőnöke, megerősítve az erről szóló lengyel sajtóhíreket.",1,2,303,Index,"For the second time in a week, Prime Minister Viktor Orbán and Prime Minister of Poland Mateusz Morawiecki will consult each other personally. The new workshop will be held in Warsaw on Monday evening — Bertalan Havasi, press chief of the Prime Minister informed MTI, confirming the Polish press reports.",NEUTRAL,5.008667358197272e-6,1.8514228577259928e-4,0.9954710006713867,0.00433887355029583
Lengyelországi sajtóorgánumoknak Piotr Müller kormányszóvivő elmondta: a mai kétoldalú megbeszélés célja további intézkedések megvitatása az uniós költségvetési tárgyalások és a soron következő uniós csúcstalálkozó előtt.,2,2,221,Index,Government Spokesperson Piotr Müller said that today's bilateral discussion aims to discuss further measures ahead of EU budget negotiations and the forthcoming EU summit.,NEUTRAL,2.9013204766670242e-5,0.002618009690195322,0.9925304055213928,0.004822618793696165
"
                          (Borítókép: Orbán Viktor magyar (balra) és Mateusz Morawiecki lengyel kormányfő az Európai Unió brüsszeli csúcstalálkozója után tartott sajtótájékoztatón 2020. július 21-én. Fotó: Benko Vivien Cher / MTI)
",3,2,256,Index,"
(Bookcover: Hungarian Prime Minister Viktor Orbán (left) and Mateusz Morawiecki, Polish Prime Minister Mateusz Morawiecki at a press conference held after the European Union summit in Brussels on 21 July 2020. Photo: Benko Vivien Cher/MTI)",POSITIVE,0.1366264820098877,0.06825577467679977,0.37350228428840637,0.42161545157432556
"A magyar miniszterelnök egy héten belül két utalást is tett arra, hogy Magyarország uniós segítség nélkül, önerőből is biztosítottnak látja a következő néhány évét, és hogy nem is éri meg nekünk elfogadni az uniós mentőcsomagot. November 20-án a Kossuth Rádiónak adott interjújában emlékeztetett erre, múlt héten pedig a Mateusz Morawiecki lengyel miniszterelnökkel tartott találkozót követő sajtótájékoztatón fogalmazott így. Ott egész pontosan azt mondta, „a koronavírus-járvány okozta válságkezeléshez az Európai Unió valójában hitelből próbálja meg előteremteni a forrásokat, a ránk eső részt nekünk kell kifizetni. Futnánk más kockázatát”.",1,3,644,Index,"Within a week, the Hungarian Prime Minister made two references that Hungary sees the next few years as self-insured without EU assistance, and that it is not worth it for us to accept the EU rescue package. He reminded me of this in his interview with Kossuth Radio on 20 November, and last week at a press conference following the meeting with Polish Prime Minister Mateusz Morawiecki. He said exactly there that 'in order to deal with the crisis caused by the coronavirus epidemic, the European Union is actually trying to raise funds on credit, and we have to pay our share. We would run other risks”.",NEUTRAL,1.8186176021117717e-4,0.0031520784832537174,0.9883335828781128,0.00833239033818245
"Első és második hallásra is félrevezetőek Orbán Viktor szavai, de legalábbis elég valószínűnek tűnik, hogy bár gazdasági érvekkel próbálja alátámasztani a jogállamisági vita miatt emelt vétót, rosszak az indokai, ez így nekünk nem éri meg. Nemcsak az a gond az érvelésével, hogy a gazdaságunk jelentősen rászorul az uniós forrásokra, hanem az is, hogy az unió olyan hitelkonstrukciót kínál, ami összehasonlíthatatlanul kedvezőbb a nemzetközi piacon fellelhetőknél.",2,3,464,Index,"Viktor Orbán's words are misleading both at first and second hearings, but at least it seems quite likely that although he is trying to substantiate the veto raised because of the rule of law debate with economic arguments, his reasons are bad, so it is not worth it. The problem is not only that our economy is significantly in need of EU funds, but also that the Union offers a credit facility that is incomparably more favourable than the international market.",NEUTRAL,1.1686825018841773e-5,3.3193101990036666e-4,0.9904382824897766,0.009218139573931694
