article_text,paragraphs,article,n_characters,news_site,article_text_eng
A másfél órán át tartó egyeztetést követően Müller a két kormányfő múlt heti budapesti közös nyilatkozatára utalva közölte:,1,1,123,Index,"After a meeting lasting an hour and a half, Müller said, referring to the joint statement of the two prime ministers last week in Budapest:"
a lengyel és a magyar álláspont világos.,2,1,40,Index,the Polish and Hungarian positions are clear.
"A szóvivő szerint az uniós költségvetés kapcsán lehetséges az új megállapodás, ennek viszont összhangban kell lennie az uniós alapszerződéssel, a júliusi EU-csúcs záró következtetéseivel.",3,1,187,Index,"According to the spokesman, a new agreement on the EU budget is possible, but this must be in line with the EU Treaty and the final conclusions of the July EU summit."
"A budapesti nyilatkozatban Orbán Viktor és Matesusz Morawiecki kilátásba helyezte, hogy szükség esetén ",4,1,103,Index,"In the statement in Budapest, Viktor Orbán and Matesusz Morawiecki put the prospect that, if necessary,"
kész megvétózni a költségvetési csomagot.,5,1,41,Index,ready to veto the budget package.
"Egy héten belül immár másodszor egyeztet egymással személyesen Orbán Viktor magyar és Mateusz Morawiecki lengyel miniszterelnök. Az újabb munkaértekezletet hétfő este tartják Varsóban – tájékoztatta az MTI-t Havasi Bertalan, a miniszterelnök sajtófőnöke, megerősítve az erről szóló lengyel sajtóhíreket.",1,2,303,Index,"For the second time in a week, Prime Minister Viktor Orbán and Prime Minister of Poland Mateusz Morawiecki will consult each other personally. The new workshop will be held in Warsaw on Monday evening — Bertalan Havasi, press chief of the Prime Minister informed MTI, confirming the Polish press reports."
Lengyelországi sajtóorgánumoknak Piotr Müller kormányszóvivő elmondta: a mai kétoldalú megbeszélés célja további intézkedések megvitatása az uniós költségvetési tárgyalások és a soron következő uniós csúcstalálkozó előtt.,2,2,221,Index,Government Spokesperson Piotr Müller said that today's bilateral discussion aims to discuss further measures ahead of EU budget negotiations and the forthcoming EU summit.
"
                          (Borítókép: Orbán Viktor magyar (balra) és Mateusz Morawiecki lengyel kormányfő az Európai Unió brüsszeli csúcstalálkozója után tartott sajtótájékoztatón 2020. július 21-én. Fotó: Benko Vivien Cher / MTI)
",3,2,256,Index,"
(Bookcover: Hungarian Prime Minister Viktor Orbán (left) and Mateusz Morawiecki, Polish Prime Minister Mateusz Morawiecki at a press conference held after the European Union summit in Brussels on 21 July 2020. Photo: Benko Vivien Cher/MTI)"
"A magyar miniszterelnök egy héten belül két utalást is tett arra, hogy Magyarország uniós segítség nélkül, önerőből is biztosítottnak látja a következő néhány évét, és hogy nem is éri meg nekünk elfogadni az uniós mentőcsomagot. November 20-án a Kossuth Rádiónak adott interjújában emlékeztetett erre, múlt héten pedig a Mateusz Morawiecki lengyel miniszterelnökkel tartott találkozót követő sajtótájékoztatón fogalmazott így. Ott egész pontosan azt mondta, „a koronavírus-járvány okozta válságkezeléshez az Európai Unió valójában hitelből próbálja meg előteremteni a forrásokat, a ránk eső részt nekünk kell kifizetni. Futnánk más kockázatát”.",1,3,644,Index,"Within a week, the Hungarian Prime Minister made two references that Hungary sees the next few years as self-insured without EU assistance, and that it is not worth it for us to accept the EU rescue package. He reminded me of this in his interview with Kossuth Radio on 20 November, and last week at a press conference following the meeting with Polish Prime Minister Mateusz Morawiecki. He said exactly there that 'in order to deal with the crisis caused by the coronavirus epidemic, the European Union is actually trying to raise funds on credit, and we have to pay our share. We would run other risks”."
"Első és második hallásra is félrevezetőek Orbán Viktor szavai, de legalábbis elég valószínűnek tűnik, hogy bár gazdasági érvekkel próbálja alátámasztani a jogállamisági vita miatt emelt vétót, rosszak az indokai, ez így nekünk nem éri meg. Nemcsak az a gond az érvelésével, hogy a gazdaságunk jelentősen rászorul az uniós forrásokra, hanem az is, hogy az unió olyan hitelkonstrukciót kínál, ami összehasonlíthatatlanul kedvezőbb a nemzetközi piacon fellelhetőknél.",2,3,464,Index,"Viktor Orbán's words are misleading both at first and second hearings, but at least it seems quite likely that although he is trying to substantiate the veto raised because of the rule of law debate with economic arguments, his reasons are bad, so it is not worth it. The problem is not only that our economy is significantly in need of EU funds, but also that the Union offers a credit facility that is incomparably more favourable than the international market."
"A koronavírus-járvány gazdasági hatásainak enyhítésére létrehozott uniós helyreállítási alapból (Next Generation EU – NGEU) mi nemcsak hitelt vehetünk fel, hanem támogatást is.",3,3,176,Index,"From the EU Recovery Fund (Next Generation EU (NGEU) to alleviate the economic effects of the coronavirus epidemic, we can not only borrow loans, but also support."
"A 2018-as áron számítva 750 milliárd eurót összesítő NGEU-nak két zsebe van, a 390 milliárdos keretből kaphatnak vissza nem térítendő támogatást a tagországok, a 360 milliárdosból pedig kölcsönt vehetnek fel.",4,3,208,Index,"The NGEU, which amounted to €750 billion in 2018, has two pockets, the €390 billion will provide grants to Member States, and the 360 billion will be able to borrow."
"(Mai árfolyamon számítva ezek a tételek jóval magasabbak, mert az unió ezeket az összegeket a kifizetéskor fel fogja szorozni a feltételezett 2 százalékos inflációval).",5,3,168,Index,"(At today's rate, these items are much higher, because the Union will multiply these amounts by the assumed inflation of 2% at the time of payment)."
"A Brüsszelben működő Bruegel Intézet magyar munkatársa, Darvas Zsolt alapos angol nyelvű elemzést készített a helyreállítási alap felhasználásáról, s ebben megtalálhatjuk, hogy évente mekkora vissza nem térítendő támogatást kaphatunk, ha végre lemondunk a vétóról, s mekkora mértékű hitelt vehetünk fel, ha akarunk. Darvas Zsolt segítségével, aki a Corvinus Közgazdaságtani Intézetében is dolgozik, megnéztük, mennyire érné meg nekünk az NGEU-s támogatás vagy az NGEU-hitel felvétele.",6,3,484,Index,"The Hungarian colleague of the Bruegel Institute in Brussels, Zsolt Darvas prepared a thorough analysis of the use of the recovery fund in English, in which we can find the amount of grants we can get annually, if we finally renounce the veto and how much credit we can buy up if we want. With the help of Zsolt Darvas, who also works at the Corvinus Institute of Economics, we looked at how much the NGEU grant or the NGEU loan would be worth it to us."
"A 750 milliárdos, hét csomagból álló NGEU előteremtéséhez az uniónak kötvényeket kell kibocsátania, s hitelt kell felvennie a piacról. A 390 milliárdos tételt a tagországok támogatásként kapják – Darvas Zsolt számításai szerint mai áron a mi vissza nem térítendő, lehívható támogatásunk 8,24 milliárd eurót tesz ki. Ugyanakkor a támogatások forrásául szolgául EU-s hitelt később közösen fizetik vissza a tagállamok 2027 és 2058 között.",7,3,435,Index,"In order to raise the 750-billion NGEU with seven packages, the EU must issue bonds and take out loans from the market. The 390 billion HUF item is given to the Member States as a subsidy — according to Zsolt Darvas's calculations, our non-refundable, callable support amounts to 8.24 billion euros at today's price. At the same time, the EU loan as a source of aid will later be jointly repaid by Member States between 2027 and 2058."
"De akkor miért is érné meg pusztán gazdasági szempontból Magyarországnak a részvétel? Azért, mert a támogatások elosztásában fajsúlyos szerepet kap az egy főre jutó jövedelem, és mivel ez nálunk jóval az uniós átlag alatt van, így a gazdaság méretéhez képest sok uniós forrás kapnánk az NGEU-ból. Ugyanakkor Magyarországnak később olyan arányban kell hozzájárulnia a visszafizetéshez, amilyen arányban az EU bruttó nemzeti össztermékéből (GNI) részesedik. Mivel ez az arány Magyarország esetében rendkívül alacsony, így várhatóan sokkal kevesebbet kell majd visszafizetnie, mint amennyit most kapna.",8,3,599,Index,"But why would it be worth the participation of Hungary from a purely economic point of view? Because per capita income plays a major role in the distribution of subsidies, and because it is well below the EU average, we would receive a lot of EU funding from the NGEU compared to the size of the economy. However, Hungary will later have to contribute to the repayment in the proportion of its share of the EU's gross national product (GNI). Since this rate is extremely low for Hungary, it is expected that you will have to repay much less than you would now receive."
"Még tisztábban: ha nincs magyar–lengyel vétó, és végre elfogadják az unió hétéves költségvetését a helyreállítási alappal együtt, akkor Magyarország sokkal nagyobb arányban részesül az NGEU támogatási keretéből, mint amilyen arányban hozzá kell majd járulnia ugyanezen adósság visszafizetéséhez.",9,3,295,Index,"Even more clearly: if there is no Hungarian-Polish veto and the EU's seven-year budget is finally adopted together with the Recovery Fund, Hungary will benefit from a much greater proportion of the NGEU funding framework than it will have to contribute to repayment of the same debt."
"Itt tehát nem érvényesülhet Orbán Viktor azon logikája, hogy ezzel adósságba verjük magunkat, és a 390 milliárdos keret ránk eső részének visszafizetésekor mi rosszul járhatunk.",10,3,177,Index,"Therefore, Viktor Orbán's logic to beat ourselves into debt cannot prevail here, and we may be wrong when we repay our share of the 390 billion HUF envelope."
"Hogy mennyivel lenne drágább, ha uniós hitel helyett a piacról finanszíroznánk magunkat? Ez ügyben tiszta vizet önt a pohárba, hogy az Államadósság Kezelő Központ 10 és 30 éves futamidejű, euróalapú kötvényt bocsátott ki november közepén:",11,3,238,Index,"How much more expensive would it be if we financed ourselves from the market instead of EU credit? In this case, you pour clean water into the glass that the Debt Centre issued Euro-based bonds with a maturity of 10 and 30 years in mid-November:"
"Az unió által kínált hitel főnyeremény ehhez képest, hiszen az például a 30 éves futamidőn 1,5 százalékponttal alacsonyabb kamatot jelentene.",12,3,141,Index,"The loan offered by the EU is the main prize, as it would mean, for example, an interest rate of 1.5 percentage points lower than 30 years."
