article_text,paragraphs,article,n_characters,news_site,article_text_eng
"
 Orbán Viktor magyar és Mateusz Morawiecki miniszterelnök varsói egyeztetése után a lengyel kormányszóvivő arról beszélt, hogy Lengyelország és Magyarország az Európai Unió német soros elnökségének új javaslataira vár az uniós költségvetési csomag kapcsán.",1,1,257,444,"
After a meeting with Prime Minister Viktor Orbán and Prime Minister Mateusz Morawiecki in Warsaw, the Polish Government Spokesperson said that Poland and Hungary are waiting for new proposals from the German presidency of the European Union on the EU budget package."
"Jelenleg 1800 milliárd euró elköltését blokkolja a két ország kormánya, mert ellenzik a jogállamisági mechanizmusnak nevezett szabály bevezetését, ami elvileg alkalmas lehet arra, hogy elvegyék az EU-s támogatások elosztásának jogát azoktól a kormányoktól, amelyeknek működése alatt leépült a jogállam.",2,1,302,444,"Currently, the spending of EUR 1800 billion is blocked by the governments of the two countries because they oppose the introduction of a rule called the rule of law mechanism, which could in principle be capable of taking away the right to allocate EU funds from governments that have undergone the rule of law."
"A másfél órán át tartó egyeztetés után Piotr Müller
a két kormányfő múlt heti budapesti közös nyilatkozatára utalva közölte: „a lengyel és a magyar álláspont világos”. A szóvivő szerint az uniós költségvetés kapcsán lehetséges az új megállapodás, ennek viszont összhangban kell lennie az uniós alapszerződéssel, a júliusi EU-csúcs záró következtetéseivel. A budapesti nyilatkozatban Orbán Viktor és Matesusz Morawiecki kilátásba helyezte, hogy szükség esetén kész megvétózni a költségvetési csomagot.",3,1,500,444,"After an hour and a half, Piotr Müller
, referring to the joint statement of the two prime ministers in Budapest last week, said that “Polish and Hungarian positions are clear”. According to the spokesman, a new agreement on the EU budget is possible, but this must be in line with the EU Treaty and the final conclusions of the July EU summit. In the Budapest statement, Viktor Orbán and Matesusz Morawiecki put the prospect of their readiness to veto the budget package if necessary."
"Hétfőn már Angela Merkel német kancellár is arról beszélt, hogy a közös cél érdekében tett kölcsönös engedményeken alapuló megállapodás iránti nyitottság szükséges valamennyi féltől az Európai Unió következő 7 éves költségvetése és a koronavírus-járvány utáni helyreállítást szolgáló alap elfogadásához.",4,1,303,444,"On Monday, German Chancellor Angela Merkel also said that openness to an agreement based on mutual concessions for a common goal requires from all parties the next 7-year budget of the European Union and the post-coronavirus recovery fund to accept."
"A lengyel kormányszóvivő szerint az uniós partnerek érdekeltek a költségvetési csomag gyors elfogadásában, ezért készek lesznek majd lemondani minden, a költségvetési eljárással össze nem függő elemről, amilyen a jelenleg javasolt feltételrendszer. Azt mondta, hogy egy jogszerű mechanizmust kellene bevezetni, pontosítva a költségvetéshez fűződő kérdésköröket, például a pénzügyi eszközök törvényes kiadásának ellenőrzése, az esetleges korrupció tekintetében. Az így felfogott javaslatokat Lengyelország támogatná.",5,1,515,444,"According to the Polish Government Spokesperson, the EU partners are interested in the rapid adoption of the budget package, and they will be prepared to renounce all elements that are not linked to the budgetary procedure, such as the currently proposed conditionality. He said that a legitimate mechanism should be introduced, clarifying budgetary issues, such as controlling the legal expenditure of financial instruments, as regards possible corruption. The proposals thus conceived would be supported by Poland."
"Arra a kérdésre válaszolva, a lengyel-magyar vétó kapcsán alakul-e valamiféle szélesebb tagállami koalíció, Müller aláhúzta:  az alapszerződésből eredő vétójog  alkalmazásához nincs szükség arra, hogy több ország is vétózzon.",6,1,225,444,"Answering the question whether there is a broader coalition of the Member States regarding the Polish-Hungarian veto, Müller underlined that in order to apply the veto rights resulting from the Treaty, there is no need for more countries to veto."
"A kormányszóvivő elmondta azt is, hogy Varsó próbálja meggyőzni uniós partnereit arról, hogy „a jogállamiság önkényes értékelése” minden tagállamra veszélyes, és a jövőben „lényegében az EU dezintegrációjához vezethet”. A költségvetési csomagról  Morawiecki kedden videokonferencia formájában az Európai Tanács elnökével, Charles Michellel, valamint egyes  uniós tagállamok miniszterelnökeivel egyeztet. (MTI)",7,1,409,444,The Government Spokesperson also said that Warsaw is trying to convince its EU partners that “an arbitrary assessment of the rule of law” is dangerous for all Member States and that in the future it can “essentially lead to disintegration of the EU”. Morawiecki will consult the President of the European Council Charles Michel and the prime ministers of certain EU Member States on Tuesday in the form of a videoconference on the budget package. (MTI)
A közös cél érdekében tett kölcsönös engedményeken alapuló megállapodás iránti nyitottság szükséges valamennyi féltől az Európai Unió következő 7 éves költségvetése és a koronavírus-járvány utáni helyreállítást szolgáló alap elfogadásához – mondta Angela Merkel német kancellár Berlinben.,1,2,288,444,"Openness to an agreement based on mutual concessions for the common goal is necessary from all parties for the adoption of the European Union's next 7-year budget and the post-coronavirus rehabilitation fund, German Chancellor Angela Merkel said in Berlin."
"Az EU Tanácsa soros elnöki tisztségét betöltő Németország kormányfője a tagországi parlamentek EU-s ügyekkel foglalkozó bizottságainak (COSAC) online elnöki találkozóján azt mondta, a tagországok állam- és kormányfőit összefogó Európai Tanács júliusi értekezletén elfogadott tanácsi következtetések több, kevéssé körvonalazott szövegrészt tartalmaznak.",2,2,352,444,"The Head of Government of Germany, holding the rotating presidency of the Council of the EU, said at the online meeting of the EU Affairs Committees of Member Parliaments (COSAC), the Council conclusions adopted at the July meeting of the European Council, which brings together the Heads of State and Government of the Member States contain a number of poorly outlined sections of text."
"A tagállamok a következtetésekben hitet tettek az EU-ról szóló szerződés 2. cikkelyében foglalt értékek mellett, és a közösség pénzügyi érdekeinek védelme, egy hatékony közös költségvetés mellett is.",3,2,199,444,"In the conclusions, Member States have given faith in the values set out in Article 2 of the Treaty on the EU and in protecting the financial interests of the community, also with an effective common budget."
